"team","round","opponent","win"
"Whitney Young BF","Round 5","Peninsula JK",0
"Whitney Young RJ","Round 5","Glenbrook South SS",0
"Bloomington MW","Round 5","Highland Park MT",1
"Calhoun KF","Round 5","Washburn DE",1
"Edina CS","Round 5","Whitney Young SO",1
"Edina RL","Round 5","Eagan LQ",1
"Edina WS","Round 5","WDMV DS",0
"Encinitas WW","Round 5","Niles West TG",1
"Glenbrook North FT","Round 5","Kent Denver KK",1
"Glenbrook South BK","Round 5","Niles West GG",0
"Glenbrook South CL","Round 5","Wayzata KS",1
"Greenhill WM","Round 5","Glenbrook North CR",1
"Iowa City West BW","Round 5","Roosevelt OP",1
"Lexington ML","Round 5","Wayzata SH",0
"Marist AV","Round 5","Rowland Hall GL",0
"New Trier SH","Round 5","East Kentwood BO",0
"Niles West NR","Round 5","Glenbrook South PV",1
"Niles West SP","Round 5","Iowa City West TR",0
"Northside CP BE","Round 5","Berkeley Prep SS",1
"Rowland Hall BL","Round 5","Greenhill GR",1
"Rowland Hall MB","Round 5","Lexington DC",0
"Sioux Falls Lincoln JH","Round 5","Wayzata DD",1
"SPASH GM","Round 5","Glenbrook North BL",0
"St Paul GS","Round 5","Traverse City Central CF",0
"Wayzata MS","Round 5","Centennial LP",0
"Wayzata SH","Round 5","Lexington ML",1
"WDMV HH","Round 5","McDonogh NJ",0
"Westminster CB","Round 5","Denver Arts School IH",0
"Whitney Young FS","Round 5","Glenbrook South CA",0
"Whitney Young SO","Round 5","Edina CS",0
"Berkeley Prep KY","Round 5","Brooklyn Independent EW",0
"Berkeley Prep SS","Round 5","Northside CP BE",0
"Brooklyn Independent EW","Round 5","Berkeley Prep KY",1
"Eagan RW","Round 5","Edina KE",1
"Georgetown Day BS","Round 5","BYE",1
"Glenbrook South PV","Round 5","Niles West NR",0
"Greenhill GR","Round 5","Rowland Hall BL",0
"Groves GS","Round 5","Clovis North SM",1
"Iowa City KK","Round 5","Niles West BS",1
"Iowa City West JW","Round 5","Northside CP SJ",1
"Kent Denver KK","Round 5","Glenbrook North FT",0
"Lexington XW","Round 5","Walter Payton MS",1
"Meadows BN","Round 5","Holy Cross SS",1
"Niles West TG","Round 5","Encinitas WW",0
"Northside CP SJ","Round 5","Iowa City West JW",0
"Northside CP VK","Round 5","Rufus King GR",1
"Roosevelt OP","Round 5","Iowa City West BW",0
"Rosemount KS","Round 5","Washburn HK",0
"Rufus King GR","Round 5","Northside CP VK",0
"Walter Payton MS","Round 5","Lexington XW",0
"Washburn DE","Round 5","Calhoun KF",0
"Washburn HK","Round 5","Rosemount KS",1
"Wayzata AC","Round 5","Northside CP KS",1
"Wayzata AJ","Round 5","Lexington RZ",0
"Wayzata DD","Round 5","Sioux Falls Lincoln JH",0
"Wayzata KS","Round 5","Glenbrook South CL",0
"WDMV DS","Round 5","Edina WS",1
"Westminster ZB","Round 5","Niles West CB",1
"Aberdeen Central PF","Round 5","Asian Debate League CH",1
"Aberdeen Central RJ","Round 5","Eagan SS",1
"Asian Debate League CC","Round 5","Wayzata So",1
"Asian Debate League CH","Round 5","Aberdeen Central PF",0
"Asian Debate League TS","Round 5","Wayzata WG",0
"Clovis North SM","Round 5","Groves GS",0
"Eagan SS","Round 5","Aberdeen Central RJ",0
"Edina KE","Round 5","Eagan RW",0
"Holy Cross SS","Round 5","Meadows BN",0
"Kent Denver HM","Round 5","Westminster DH",0
"Minneapolis South FN","Round 5","Roseville Area CH",1
"Niles West BS","Round 5","Iowa City KK",0
"Niles West CB","Round 5","Westminster ZB",0
"Northside CP KS","Round 5","Wayzata AC",0
"Walter Payton PY","Round 5","Appleton East MR",1
"Wayzata BH","Round 5","Glenbrook South RF",1
"Wayzata So","Round 5","Asian Debate League CC",0
