"team","round","opponent","win"
"Pace MA","Round 5","Hawken YZ",1
"Paideia RH","Round 5","Northview JK",1
"Paideia UL","Round 5","Westminster GD",0
"Pine Crest PR","Round 5","Niles West TP",1
"Stuyvesant DS","Round 5","Alpharetta KV",1
"USN BW","Round 5","Katy Taylor AL",1
"Westminster GD","Round 5","Paideia UL",1
"Cathedral Prep HK","Round 5","Highland Park (MN) BD",0
"Chattahoochee JN","Round 5","Isidore Newman AZ",0
"Fayetteville MS","Round 5","Mount Vernon MM",0
"Isidore Newman AZ","Round 5","Chattahooche JN",1
"Jesuit Prep LV","Round 5","Bronx GM",0
"Lake Oswego AT","Round 5","Chattahoochee AM",1
"Mount Vernon MM","Round 5","Fayetteville MS",1
"Mountain Brook WS","Round 5","Grapevine PS",0
"Northview JK","Round 5","Paideia RH",0
"Ransom Everglades FS","Round 5","Henry W. Grady CW",0
"St. Andrew's DZ","Round 5","BYE",1
"Unionville YD","Round 5","Calhoun BF",0
"Chattahoochee AM","Round 5","Lake Oswego AT",0
